,par_id,art_id,keyword,country,text,label,orig_label,label_class,len_text,unbalanced_power,shallow_solution,presupposition,authority_voice,metaphor,compassion,the_poorer_merrier
912,913,@@16621430,in-need,au,""""""" There are citizenry world health organization cost shin to form final stage match and information technology just seems ironic that in axerophthol country care commonwealth of australia where we embody therefore blessed with thusly a good deal land and so often fat country that we 're not capable to get the food to people indiana involve . """" <h> Feeding sydney 's west""",1,2,[1 0 0 0 0 1 0],273,1,0,0,0,0,1,0
1391,1392,@@25214499,in-need,lk,"""Lakshan Madurasinghe - Country public Affairs , communicating and Sustainability handler of Coca-Cola Beverages Sri Lanka ld. added , """" Our heart goes out to the families stirred by the recent epoch floodlight . Coca-Cola has forever believed in inclusive and sustainable development and forethought about the local anesthetic community where information technology run . We exist gladiolus to be of aid atomic number 49 providing support to our biotic community fellow member during their metre of trial and difficultness . We are as well grateful to the Sri Lanka Red Cross lodge Gampaha ramification , the local anaesthetic public Health inspector of the Ministry of Health , the GramaNiladharis and the Biyagama divisional writing table , whose avail made it potential to successfully run these interventions to those in pauperization . """"""",1,4,[1 1 0 0 0 0 0],740,1,1,0,0,0,0,0
6188,6189,@@20021328,women,za,"""Our country is in pauperism of serious change . We can proceed to observe women 's clarence shepard day jr. , hold massive budgets at events , give out goody bag with a cute lipsticks and observe distaff achiever once antiophthalmic factor year . This represent without film away from surpassing cleaning woman world health organization truly personify making inroads into their environments but we be not just now a cute lip rouge , or pair off of skid , we be non equitable jolly and diffuse and squishy . We are not exactly child bearers , and there for procreation . So , why personify we as women , so accepting of the assuage and pacification thrown at us and overlook the inequality through acceptance . 1 comprise by nobelium entail militant , simply often , vitamin a even in political relation , focus cost shifted along reliable issues by drawing public attention to other """" thing """" inwards order for the states to cost perturb . aside shifting our focussing from relevant effect we draw a blank why we were disgruntled and raging and nix ever so modification .""",1,4,[0 1 0 0 0 0 0],908,0,1,0,0,0,0,0
1000,1001,@@21155073,in-need,au,"""IS first captured the city in 2014 and x of thousands world health organization flee are badly in ask of aid , with jacob's ladder expression """" camps exist bursting at the seams """" .""",1,3,[0 0 0 0 1 0 0],156,0,0,0,0,1,0,0
1953,1954,@@2117784,immigrant,hk,This must probably be the biggest vault for newfangled immigrant .,1,3,[0 0 1 1 0 0 0],61,0,0,1,1,0,0,0
6610,6611,@@20214156,vulnerable,lk,"The RDA 's fulfil , whilst creating a stir in Colombo society , make up diagnostic of deoxyadenosine monophosphate much deeper subject come out that for the most part affects pitiable and vulnerable citizen . unluckily , the woe of the miserable embody seldom get word . Unaware of the laws and their rights , they do non have got the imply to take lawyers and spend twelvemonth in tourist court to essay just compensation .",1,2,[1 0 1 0 0 1 0],354,1,0,1,0,0,1,0
3256,3257,@@1038600,vulnerable,gb,"""Speaking later on the inquest Antony 's mummy , Zena wallace stevens , said : """" information technology 's associate in nursing unbearable going . mark antony comprise n't a druggie , helium cost just adenine identical vulnerable young human .""",1,3,[0 0 0 0 0 1 0],165,0,0,0,0,0,1,0
8619,8620,@@16308307,vulnerable,gh,"When Nana Akufo Addo pose his unfeigned state of the land address and gave all the authority of how his authorities testament among others things provide work for the pour youth , helium knew the state of the country and where he will ' find ' employment for these vulnerable younker .",1,3,[1 0 0 0 0 0 0],287,1,0,0,0,0,0,0
4013,4014,@@9061490,in-need,nz,Accountability is indicate that the people and so inward need of our help and bear out could have done a minuscule bit thomas more to help themselves .,1,4,[1 0 0 1 0 0 0],134,1,0,0,1,0,0,0
9849,9850,@@16437918,homeless,bd,"Pope Francis give made refutation of the poor and poverty stricken a cornerstone of his pontificate , coif up shower carrell for the homeless near the vatican palace , offering repast and even amp VIP-style confab to the Sistine chapel service .",1,4,[1 1 0 0 0 0 0],208,1,1,0,0,0,0,0
4262,4263,@@22330275,poor-families,ng,"Christmas and new year are upon us , and class crossways Nigeria leave amount unitedly to celebrate . But for trillion of poor families , they will fete both occasions with hungriness , fear , and uncertainness .",1,3,[0 0 1 0 1 1 0],208,0,0,1,0,1,1,0
6259,6260,@@25685466,immigrant,ke,"Canada own managed to take over immigrant , yet information technology keeps its citizen well chosen at the same clock . indiana fact , the only democrat rotation was pro-immigrant ! information technology lav all be finagle , indiana a humane way ; feeling the infliction of those world health organization possess odd their homes in search of peace or successfulness .",1,4,[1 0 1 0 0 1 0],280,1,0,1,0,0,1,0
605,606,@@25243686,vulnerable,gh,"Born angstrom christian , my humility and RESPECT for especially the aged and untried of our society is very unfaltering , apt and inviolate . In same manner , my DEFENCE and doj for the helpless and vulnerable is rattling much lapplander .",1,4,[1 0 0 0 0 1 0],218,1,0,0,0,0,1,0
9887,9888,@@10161468,homeless,hk,"next a travel to a community center complete the weekend and interacting with around homeless mass , CY Leung ( insert ) suggested that his opponents make up to blame for topical anaesthetic put up woefulness . mention : Facebook , Reuters <h> How the cold atmospheric condition has exposed Leung govt 's shortcomings",1,2,[1 1 0 0 0 0 0],279,1,1,0,0,0,0,0
9985,9986,@@16440905,women,za,Pharrell ted williams thinks cleaning woman keister save the mankind .,1,3,[0 0 1 0 0 0 0],51,0,0,1,0,0,0,0
7282,7283,@@17660459,homeless,lk,""""""" antiophthalmic factor volume dissent exist adjudge atomic number 49 Jaffna at ternion post meridiem yesterday against Tamil Nadu politician Thol . Thiruvmavalavan , T. Velmurugan and Y. Gopalaswamy , who prevented the superstar of Tamil cinema , Rajinikanth , visiting Jaffna to hand-over the key fruit of 150 houses , build up by Lyca , ( antiophthalmic factor private firm based indiana London ) to dispossessed people world health organization had been feign by the separatist war . """"""",1,2,[1 0 0 0 0 0 0],382,1,0,0,0,0,0,0
5940,5941,@@17012782,in-need,za,""""""" I would like to use this chance to call up along the regime , the belligerent parties and all actors to back humanitarians to allow the requisite access indeed we can keep on to bring lifesaving divine service to those in motivation , """" he allege .""",1,3,[1 0 0 1 0 0 0],241,1,0,0,1,0,0,0
279,280,@@2241348,poor-families,za,"The growing mordant halfway course of study , , amongst other things , owe its achiever to the educational chance provided aside our government . Some of the freshly melanize professional and middle year make up from poor families and from within the social status of the on the job social class . We motivation to glucinium majestic of all these achievements as the commonwealth fete 20 years of democracy .",1,4,[1 0 0 1 0 0 0],359,1,0,0,1,0,0,0
1393,1394,@@14758376,vulnerable,au,"mr. Porter , do you think you bequeath get the numbers needed from the remaining senator and do you fit in that , if follow up , some vulnerable masses leave settle through and through the break through and the street could comprise un-safer equally a aftermath ?",1,4,[0 0 0 0 1 0 0],230,0,0,0,0,1,0,0
1338,1339,@@24352659,in-need,lk,""""""" Pacific partnership 2018 offers associate in nursing excellent opportunity for the united states and Sri Lankan military to serve Sri Lankans indiana ask and thrive our develop partnership in humanitarian and calamity alleviation , """" aforementioned U.S. Ambassador to Sri Lanka and the Maldives Atul Keshap . """" From health check clinics to dislodge world concert , our boater will bring the best of america to topical anesthetic communities . """"""",1,3,[1 1 0 0 0 0 0],389,1,1,0,0,0,0,0
9845,9846,@@4521781,homeless,jm,news <h> From stateless to hopeful <h> portland 's impoverished incur axerophthol cap o'er their direct,1,4,[0 1 0 0 1 1 0],86,0,1,0,0,1,1,0
41,42,@@4591694,hopeless,jm,genus vanessa had touch of hopelessness in her final days which increase when her cry for help yielded no response from the resident magistrate who target her in the care of the State . Her letter equal conveyed to this solicit official by an investigator from the Office of the kid 's recommend .,1,3,[0 0 0 0 0 1 0],295,0,0,0,0,0,1,0
764,765,@@1873485,vulnerable,ng,"Finally , at that place seems to equal ampere ray of hope for the inadequate and the vulnerable in federal republic of nigeria 's rural communities as far as wellness care services live touch . An approximate seventy per centime of Nigeria 's universe who be in the rural region are pronounce to have higher disease burden , lower income , and constitute in most need of auspices .",1,3,[0 0 1 0 1 1 0],323,0,0,1,0,1,1,0
4257,4258,@@19832354,hopeless,nz,""""""" He must have remember : ' 1 do n't privation to execute this any longer ' . """" Isaac was a small fry gravel land and feeling hopeless .""",1,2,[0 0 1 0 0 1 0],122,0,0,1,0,0,1,0
1442,1443,@@23976983,homeless,sg,"The photo of deoxyadenosine monophosphate hyderabad traffic officer feeding an elderly roofless woman has gone viral , earning him honor from mixer media users and from the Home Minister of the state of matter .",1,4,[1 1 0 0 0 0 0],181,1,1,0,0,0,0,0
6086,6087,@@8036666,in-need,gh,"coming from angstrom unit national that faced financial severity , founder joseph campbell be always out to follow through projects which supporter impart smiles to the faces of the great unwashed world health organization equal inwards need .",1,4,[1 0 0 0 1 0 0],167,1,0,0,0,1,0,0
6086,6087,@@8036666,in-need,gh,"Coming from angstrom domicile that faced financial severeness , Father Campbell is always prohibited to carry out projects which help bring smiling to the look of people world health organization are inward need .",1,4,[1 0 0 0 1 0 0],167,1,0,0,0,1,0,0
527,528,@@4166008,poor-families,gb,"Saskia rallied her friends and fellowship to help and get involved with Philani Child wellness and Nutrition Project , which figure better shacks for inadequate class . in concert , they make up able to springiness infant formula milk to the grandmother who is looking after the twins , garment and pram simply , about importantly , extend their tiny hutch .",1,3,[1 0 0 0 0 0 0],335,1,0,0,0,0,0,0
5913,5914,@@21927448,immigrant,tz,"But the conception is that Rwanda 's remorse , humane , policy and civilization of helping the immigrants/slaves to be , 1000 of admiralty mile away indium the continent should make EAC feel that the 30,000 people ( creation of god ) represent the bloc 's cocker now to nurture , educate , fabric and theater just alike whatever former citizen in the community .",1,4,[1 0 0 0 0 0 0],327,1,0,0,0,0,0,0
711,712,@@20389516,immigrant,us,"The destiny of nearly 790,000 youthful undocumented immigrants personify inward the handwriting of type a deep disunite Congress .",1,2,[1 0 0 0 0 1 0],103,1,0,0,0,0,1,0
5071,5072,@@8977783,vulnerable,pk,"""He pronounce that atomic number 2 too end in yerwa maiduguri , federal republic of nigeria , where helium met with people world health organization represent torch come out of their plate xi month agone . """" These live the write up we have a bun in the oven with uranium , """" atomic number 2 emphasize . """" The public do gooder meridian , is type a erstwhile atomic number 49 a generation opportunity to go down in gesticulate an ambitious and far reaching schedule to change the path that we alleviate , and most importantly that we prevent , the abide of the existence 's virtually vulnerable people . """"""",1,4,[1 0 0 0 0 1 0],457,1,0,0,0,0,1,0
1265,1266,@@16643759,hopeless,jm,"""This dispose corpse , latterly a son world health organization accept been instruct to let the cat out of the bag more or less exist """" a megabucks of potency """" , she pronounce , make up erratic inch shoal attendance and behavior , nigh oftentimes hungry and unkempt and demonstrably wanting in assertion and attention atomic number 85 national , foisted along teacher , world health organization , obsessed with curriculum , hopefully willing but hopelessly ill equipped to carry through him from his ( and our ) final exam resting place .""",1,3,[1 0 0 0 1 1 0],423,1,0,0,0,1,1,0
5592,5593,@@23947737,in-need,ph,""""""" Let uranium piddle this occasion to a greater extent meaningful by offering aid to others , specially to those in indigence . army of the pure us pray for the welfare and safety device of our countryman and for lasting public security in our nation so that we potty all work in concert in harmoniousness towards real change , """" helium said .""",1,3,[1 0 0 0 0 0 0],276,1,0,0,0,0,0,0
4326,4327,@@14178322,women,gh,"If in addition ' miracle ' can embody orchestrated and then the adoption and fear become total . inch deoxyadenosine monophosphate country where statistic state that unemployment cost about twenty five per penny only we bonk it is more comparable 70 per penny , where the next meal will come from is unpredictable and along antiophthalmic factor daily fundament time precisely run aside ; it is not far-fetched for women to become supplicant warrior for their children , economise and sib and are made to fault whatever comprise happening non on policies of the government merely along the machinations of the heller .",1,3,[0 0 1 0 0 1 0],526,0,0,1,0,0,1,0
863,864,@@4531820,hopeless,pk,The minimum requirements of job experience averaging betwixt two and iii years for advertised line consume come null only to deprive child of the opportunities to work and realize a respectable subsist for themselves . It cause just rendered them hopeless .,1,3,[0 0 1 0 0 1 0],256,0,0,1,0,0,1,0
8810,8811,@@24844729,women,ie,""""""" They want to live hoosier state a area that do by charwoman with pity , """" the Minister for Health says . """" This cost an Ireland that no more longer says take the gravy boat , take the plane ... nowadays we read we wish to stand with you . """"""",1,4,[1 0 0 1 0 0 0],226,1,0,0,1,0,0,0
279,280,@@2241348,poor-families,za,"The mature black halfway course , , amongst former thing , owe information technology success to the educational opportunities offer aside our government . Some of the new inglorious professional and in between course of study were from poor families and from inside the rate of the working course . We penury to atomic number 4 gallant of altogether these achievements every bit the land celebrates 20 geezerhood of commonwealth .",1,4,[1 0 0 1 0 0 0],359,1,0,0,1,0,0,0
1598,1599,@@15430582,disabled,ng,Kano disabled sodbuster incite from pray to bagging,1,2,[1 0 0 0 0 1 0],50,1,0,0,0,0,1,0
5745,5746,@@1919148,in-need,tz,She hollo on the oecumenical world to tennessean to donate blood and that way rescue the spirit of patients in want of stock blood transfusion .,1,2,[1 0 0 1 0 0 0],134,1,0,0,1,0,0,0
1089,1090,@@22094309,homeless,ie,florist's chrysanthemum last indium dispossessed tax shelter take in ' nowhere to convey son along Christmas day ' <h> ' panicked ',1,3,[0 1 0 0 0 1 0],94,0,1,0,0,0,1,0
4357,4358,@@8943241,women,tz,"The figures mentioned above personify inclusive of humanity but have adjudicate to single stunned women- our mothers- ampere associate in nursing grasp of their love to children . They blusher angstrom unit selfsame drear picture and calls for every elbow grease to protect charwoman and children all concluded the humans . As you are interpret through with the lines , right right away you suffer axerophthol really touching story to tell some your ain mother or your neighbour 's generate .",1,2,[1 0 1 0 0 1 0],397,1,0,1,0,0,1,0
1187,1188,@@15822119,in-need,ie,""""""" It make up n't rare for Johannah to listen through the media of an individual inward need of assistance , and she would immediately make information technology her objective to mother that person what they often urgently needed , and seldom without success .""",1,4,[1 0 0 0 0 0 0],237,1,0,0,0,0,0,0
6026,6027,@@4613219,homeless,jm,"As a member of Care of Hope , Barnett leave food for the street hoi polloi provide to past the foundation on a regular ground . She , still , suffice n't head cause to wangle to feed the roofless and the needy she said , because this follow basically something that personify already upwards her alley .",1,4,[1 0 0 0 0 1 0],281,1,0,0,0,0,1,0
6698,6699,@@4557972,poor-families,my,atomic number 2 said their efforts should non blockade only astatine creating many calibrate but also extended to educatee from wretched kinfolk then that they could break away from the cycle of impoverishment .,1,3,[1 0 0 0 1 1 0],176,1,0,0,0,1,1,0
5179,5180,@@21237825,in-need,jm,"The scripture of Desmond Tutu , halo dead on target for 31 year previous Ayesha Allen , chairperson of the Gift of beloved Ja . world health organization believes that championing the cause of those in pauperism and start up type a charity to fulfill information technology is a set off of immortal 's plan for her life .",1,4,[1 0 0 0 0 1 0],237,1,0,0,0,0,1,0
879,880,@@24188457,in-need,ke,Dennis insisted that his initiative make up not inch any way sponsored and was purely driven along his desire to serve prohibited woman inwards need .,1,3,[1 0 0 0 0 0 0],128,1,0,0,0,0,0,0
3661,3662,@@4580789,in-need,jm,one 've live bothered by that moment since then . why did n't I help him ? single had vitamin a few c buck with me and could have spar information technology . iodin felt ashamed when I got back family because I knew that my have selfish pride make in my right smart of facilitate person urgently hoosier state indigence .,1,2,[1 0 0 0 0 0 0],267,1,0,0,0,0,0,0
7769,7770,@@1125661,refugee,ph,"BEIRUT , Lebanon - moving picture star and un special emissary Angelina Jolie said along wed she make up locomote atomic number 85 how Lebanese families constitute opening their home to Syria refugees , after Beirut rein out setting up refugee camp for them .",1,2,[1 0 0 0 0 0 1],217,1,0,0,0,0,0,1
1799,1800,@@16706486,migrant,bd,"""At Davos , the earthly concern Economic assembly dedicated this twelvemonth to cultivate """" responsive """" and """" responsible """" leaders inch adenine world largely absent both . This missionary work obviously refers to domestic/national leader , world health organization must now serve as the citadel of bringing group a rupture and submersion planet from disaster , whether caused by over-adrenalised presidents and prime government minister , or environmental decay , damage , and neglect , or something else . Clearly , many would be needed , for lesson , to bring around the Syrian scars , nursing home the burgeon refugee/migrant influxes , and heed the U.N . SDG ( sustainable ontogeny finish ) authorisation to uplift the divest , minorities , untutored children , other curb char , and so forth .""",1,4,[1 0 0 1 1 0 0],728,1,0,0,1,1,0,0
10026,10027,@@4648718,vulnerable,jm,"Here atomic number 49 Jamaica , it is associate in nursing unfortunate fact that the law still give adenine thought provoking kinship with the communities that we seek to do . Every daylight , the homo and women of the JCF dauntlessly confront the labor of protect the innocent and vulnerable from those world health organization consume scant regard for the value of human life .",1,2,[1 0 0 0 0 0 0],317,1,0,0,0,0,0,0
2019,2020,@@26062961,in-need,lk,""""""" When iodin startle , there were hardly whatsoever women hoosier state byplay . today we accept women lead fields indiana the political science and corporate sector world health organization are practice very well . I besides fuck that WCIC cost help oneself women atomic number 49 involve to build upwards their biography and to start patronage . I want them the well , and I thank WCIC for the awards , """" aver Mrs. Pestonjee .""",1,4,[1 0 0 0 0 0 0],342,1,0,0,0,0,0,0
9118,9119,@@15701970,disabled,in,"NEW DELHI : militant and health check professional person have extol the political science 's move to increase the ambit of the handicap list to provide benefits to acid attempt survivors , those suffer from continuing neurologic conditions , and haemophilia and reap hook cellular telephone anaemia affected role . This , they said , bequeath help in integrating them into companionship .",1,2,[1 0 1 0 0 0 0],340,1,0,1,0,0,0,0
10378,10379,@@30026901,poor-families,za,""""""" many small fry from poor families and working class house have contend to gain accounting entry into university because their parent could not devote the fees . So if you occur from a miserable kinfolk you are condemned forever ? to remain an substandard somebody ? """" he said .""",1,4,[0 0 1 1 1 1 0],266,0,0,1,1,1,1,0
7282,7283,@@17660459,homeless,lk,""""""" A mass objection follow declare atomic number 49 Jaffna astatine 3 post meridiem yesterday against tamil Nadu political leader Thol . Thiruvmavalavan , T. Velmurugan and Y. Gopalaswamy , who forbid the superstar of Tamil movie theatre , Rajinikanth , impose Jaffna to hand-over the key of 150 houses , built by Lyca , ( a secret firm based in capital of the united kingdom ) to homeless person the great unwashed who accept personify affected away the separatist war . """"""",1,2,[1 0 0 0 0 0 0],382,1,0,0,0,0,0,0
7636,7637,@@16386146,in-need,ng,"""Another fond store I care for was the day atomic number 2 and I follow number from the mosque when two serviceman approach him and importuned him to give them money . They said they had n't eaten all sidereal day . My pa was the tolerant human live unity ever know . he would give his survive penny to people in need . So he gave the world all the money atomic number 2 had along him . """" one do n't have vitamin a lot with me like a shot , but I master of arts ampere salary earner and the calendar month will terminate in a few clarence shepard day jr. . You indigence this thomas more than I answer , """" atomic number 2 said .""",1,4,[1 0 0 0 0 0 0],479,1,0,0,0,0,0,0
9644,9645,@@1936157,refugee,gh,"""Francis said it embody not plenty to tell , """" Have bravery , attend in on that point """" , to the 100 of thousands of refugee who are along the march toward what he called """" lifetime 's hope """" .""",1,3,[1 0 0 1 0 1 0],183,1,0,0,1,0,1,0
910,911,@@706981,poor-families,nz,"Those from poor kinsfolk were to a greater extent likely to leave taking school without qualifications , have babies before they represent xx , commit crimes , exit on public assistance and own dependance and other mental wellness problems in adulthood .",1,4,[0 0 1 0 0 0 0],213,0,0,1,0,0,0,0
5272,5273,@@9077918,vulnerable,tz,"The originate country have group a obligation to simpleness the burden on to a lesser extent break master of ceremonies body politic aside taking or so of the most vulnerable refugee for relocation . UNHCR has concluded time advocate developed carry nation to help part the weight down by increasing the number of resettlement places they send away offer , with small surgery no success .",1,3,[1 0 0 0 0 0 0],315,1,0,0,0,0,0,0
8029,8030,@@17505914,refugee,jm,"What commonwealth need to arrange is lead off to reconstruct the phantasmal walls that were offend gloomy , eastern samoa in the Book of nehemiah . Any country that prove mercy and compassion to refugee and undocumented personnel testament get great blessings from the creator who is the One who gives ability to get riches . <h> stipendiary tax",1,4,[1 0 0 0 0 0 0],308,1,0,0,0,0,0,0
8721,8722,@@10135694,immigrant,ph,"But if the sovereign solicit cave in type a favorable determination for the chairperson , his immigration program would immediately accept essence , changing the lives of eligible philippine menage and former immigrant .",1,3,[1 0 1 0 0 0 0],199,1,0,1,0,0,0,0
1193,1194,@@2306623,women,in,"There is fearfulness and despair inward their void eyes . They have nobelium support and no more put to work and their acquire nipper receive no breeding . Their daughters serve non have a great deal hope of obtain worthy matches and they make up non certain where the next repast would come from . Many woman and kid live on in Gurdwar , sikh situation of worship swear on barren kitchen",1,4,[0 0 1 0 1 1 0],354,0,0,1,0,1,1,0
3540,3541,@@20171532,in-need,za,"For many patient role in need of organ transplant , liveliness is angstrom waiting game waiting for the scream that leave change their lives and peradventure move over them a better and longer lifetime .",1,3,[0 0 1 0 1 0 0],175,0,0,1,0,1,0,0
9718,9719,@@1857896,hopeless,tz,"In many sheath , termination burden of such type of keep personify the elderly see frail ' past times their usefulness , ineffectual to act , physically rickety , mentally irksome invalid operating theatre hopeless .",1,3,[0 0 1 1 0 1 0],183,0,0,1,1,0,1,0
1695,1696,@@1797035,vulnerable,tz,"As a solvent , to the highest degree of people with handicap remain vulnerable and ineffective to sustain themselves , a situation that makes them hapless and they raise ampere poor syndicate . This creates antiophthalmic factor criminal cycle of impoverishment type a we cease upwards with a society in which people with disabilities make up mistreated . register on ...",1,4,[0 0 1 1 1 0 0],294,0,0,1,1,1,0,0
9845,9846,@@4521781,homeless,jm,News <h> From homeless to aspirant <h> portland 's indigent get vitamin a roof over their oral sex,1,4,[0 1 0 0 1 1 0],86,0,1,0,0,1,1,0
8619,8620,@@16308307,vulnerable,gh,"When Nana Akufo Addo presented his honest state of the commonwealth address and gave totally the assurances of how his governments will among others thing put up utilization for the teem youth , he knew the dos of the country and where he will ' find ' employment for these vulnerable youths .",1,3,[1 0 0 0 0 0 0],287,1,0,0,0,0,0,0
6258,6259,@@16047006,in-need,ca,""""""" Helping people in motivation is group a message that for each one faith has , """" she allege . """" iodine leslie townes hope it will be disseminate prohibited to early residential area angstrom unit well . """"""",1,4,[1 0 0 0 0 0 0],148,1,0,0,0,0,0,0
7789,7790,@@1872744,in-need,gh,"""As a kid , single give incessantly been told to give to those who be in need . I induce cost call down upwards to believe that if iodin ut n't give to the needy , ace will get hold my path to nether region . due to these educational activity that let exist imbue in pine tree state , I give birth been broadly speaking equal sympathetic to the needy . After altogether information technology make up state in the Holy Scriptures that """" there is consecrate in pay than incur """" . Growing up , I have yet disabused my mind of this notion . 1 comprise just wear upon of seeing a familiar look solicit along the street for far overly long , I am tire of giving money to angstrom beggar world health organization ask me for money nowadays and hitherto shamefully call for me for serve again when he surgery she match maine on the future day .""",1,4,[1 0 0 0 0 1 0],670,1,0,0,0,0,1,0
3356,3357,@@576408,poor-families,gb,"The former Jewish vicinity indium the urban center of Sulaymaniah , indium kurdish iraq , live not deoxyadenosine monophosphate felicitous site . The area is angstrom slum area where short crime syndicate are mug up into houses whose retiring grandness be easily concealed under angstrom midst level of grit and fail .",1,3,[0 0 0 0 1 1 0],244,0,0,0,0,1,1,0
10172,10173,@@2867350,hopeless,ie,"""Meanwhile """" end to end this island , the high layer of felo de se is terrible and terrifying . """" adenine Christians """" we stern turn over promise , where a soul feels only shadow and hopelessnes , """" atomic number 2 tell .""",1,3,[1 1 1 0 0 1 0],199,1,1,1,0,0,1,0
