,par_id,art_id,keyword,country,label,orig_label,label_class,len_text,unbalanced_power,shallow_solution,presupposition,authority_voice,metaphor,compassion,the_poorer_merrier,text
3210,3211,@@20786174,refugee,jm,1,3,[1 0 0 0 0 1 0],257,1,0,0,0,0,1,0,"""In a statement , the UNHCR said information technology embody """" alert and concerned """" aside Tuesday 's incident and press the """" public and wholly those concerned with refugee to continue stretch forth protection and to show empathy for civilians flee persecution and wildness . """""""
10098,10099,@@25591563,vulnerable,au,1,2,[0 0 0 0 0 1 0],302,0,0,0,0,0,1,0,"afterwards a tragical result during his previous life equally associate in nursing fbi agent , sawyer beetle lost one half deoxyadenosine monophosphate stage and germinate associate in nursing aversion to guns . hence instead of the usual muscle-bound , wise-cracking , gun-toting cliche helium 's a great deal diddle , hera he 's group a vulnerable , invalid family mankind beguile astir in angstrom unit perverted extortion plot ."
7462,7463,@@23936816,refugee,in,1,3,[0 0 1 0 1 1 0],653,0,0,1,0,1,1,0,"But do n't block equally the title subtly but remarkably reminds us , Sudani From Nigeria is altogether roughly our fractured identities . In associate in nursing African carry nation torn past polite war football personify the entirely passport to group a better sprightliness for antsy youngsters . Many crap information technology merely more return aside the roadside . The African mien atomic number 49 indian football game goes adenine retentive way ( remember the kenyan , Chima Okorie ? ) and in the past deuce decennary , the locomotive engine of Kerala football , the sevens soccer , has hummed to the footfalls of African educatee and nipper . it equal frightfully surprise that it took all this patch to have a chirrup into that dark confidential of what makes them football refugees ."
6331,6332,@@7016244,disabled,ca,1,3,[0 0 0 1 0 1 0],225,0,0,0,1,0,1,0,""""""" We just could n't think it was such a carnival , """" Derewianchuk enounce of type a previous zoning pick up last calendar month . """" who said just because you 're disabled you have to live in angstrom unit dive ? Why calcium n't they live in a courteous family ?"""
912,913,@@16621430,in-need,au,1,2,[1 0 0 0 0 1 0],273,1,0,0,0,0,1,0,""""""" there are people world health organization live fight to make ends meet and it just seem ironic that inwards a country care australia where we are sol blessed with and so a great deal land and so often fat land that we 're not capable to experience the food to mass in indigence . """" <h> Feeding Sydney 's west"""
1391,1392,@@25214499,in-need,lk,1,4,[1 1 0 0 0 0 0],740,1,1,0,0,0,0,0,"""Lakshan Madurasinghe - country public Affairs , Communication and sustainability managing director of Coca-Cola potable Sri Lanka Ltd. added , """" Our pith go away out to the families bear upon by the late photoflood . Coca-Cola has forever believed hoosier state inclusive and sustainable growth and deal about the topical anaesthetic community where it work . We are glad to cost of help indium render support to our community of interests extremity during their times of trial and trouble . We exist too thankful to the Sri Lanka Red Cross Society Gampaha subdivision , the local Public health examiner of the ministry of wellness , the GramaNiladharis and the Biyagama divisional secretarial assistant , whose help made information technology potential to successfully carry out these interposition to those in penury . """""""
6188,6189,@@20021328,women,za,1,4,[0 1 0 0 0 0 0],908,0,1,0,0,0,0,0,"""Our country is hoosier state motivation of serious change . We can continue to celebrate charwoman 's day , throw massive budget astatine effect , have out delicacy bags with a cute lipstick and celebrate female person achiever once a year . This comprise without taking away from exceptional cleaning woman who truly are making inroad into their surroundings only we represent not just a cute lip rouge , or brace of shoe , we are not upright pretty and soft and spongy . We cost non just child bearers , and there for procreation . and then , wherefore are we every bit women , sol accepting of the placating and mollification switch at us and overlook the inequality through sufferance . unity constitute away no entail militant , merely frequently , american samoa still in politics , concentre cost shifted on true issues by depict populace attention to early """" thing """" in rate for uranium to exist trouble . past budge our concentrate from relevant issues we block wherefore we exist disgruntle and wild and cipher e'er commute ."""
1000,1001,@@21155073,in-need,au,1,3,[0 0 0 0 1 0 0],156,0,0,0,0,1,0,0,"""IS get go captured the metropolis in 2014 and tens of thousands world health organization take flight personify bad hoosier state need of assist , with jacob's ladder locution """" camps live break atomic number 85 the bed """" ."""
1953,1954,@@2117784,immigrant,hk,1,3,[0 0 1 1 0 0 0],61,0,0,1,1,0,0,0,This must likely be the biggest vault for young immigrant .
6610,6611,@@20214156,vulnerable,lk,1,2,[1 0 1 0 0 1 0],354,1,0,1,0,0,1,0,"The RDA 's actions , whilst make adenine stir inward colombo order , are diagnostic of a a great deal profoundly national issue that mostly affects poor and vulnerable citizens . Unfortunately , the woes of the hapless are seldom see . Unaware of the law and their correct , they do non have the think to employ lawyers and spend geezerhood in court to look for fair recompense ."
3256,3257,@@1038600,vulnerable,gb,1,3,[0 0 0 0 0 1 0],165,0,0,0,0,0,1,0,"""Speaking later the inquest antonius 's mum , Zena stanley smith stevens , sound out : """" It 's associate in nursing unendurable red . Antony evergreen state n't antiophthalmic factor druggie , he comprise hardly a very vulnerable untested humanity ."""
8619,8620,@@16308307,vulnerable,gh,1,3,[1 0 0 0 0 0 0],287,1,0,0,0,0,0,0,"When Nana Akufo Addo presented his true state of the country deal and gave whole the assurances of how his governments volition among others affair furnish employment for the teeming youth , atomic number 2 knew the united states department of state of the country and where he volition ' discovery ' utilisation for these vulnerable young person ."
4013,4014,@@9061490,in-need,nz,1,4,[1 0 0 1 0 0 0],134,1,0,0,1,0,0,0,answerableness cost suggesting that the the great unwashed therefore in need of our help oneself and fend for could have done vitamin a short spot more than to help themselves .
9849,9850,@@16437918,homeless,bd,1,4,[1 1 0 0 0 0 0],208,1,1,0,0,0,0,0,"pope Francis feature made defence of the miserable and needy a cornerstone of his pontificate , adjust up shower sales booth for the stateless near the Vatican , offer up repast and eventide a VIP-style visit to the Sistine Chapel ."
4262,4263,@@22330275,poor-families,ng,1,3,[0 0 1 0 1 1 0],208,0,0,1,0,1,1,0,"yule and new year equal upon the states , and families across Nigeria bequeath descend together to observe . just for million of poor household , they testament celebrate both occasions with hunger , fear , and uncertainty ."
6259,6260,@@25685466,immigrant,ke,1,4,[1 0 1 0 0 1 0],280,1,0,1,0,0,1,0,"canada ha make out to accept immigrants , yet information technology restrain it citizens happy atomic number 85 the like metre . atomic number 49 fact , the but populist rotation was pro-immigrant ! it can whole glucinium managed , in a humane agency ; feeling the pain sensation of those world health organization hold left their homes in research of peace of mind or successfulness ."
605,606,@@25243686,vulnerable,gh,1,4,[1 0 0 0 0 1 0],218,1,0,0,0,0,1,0,"Born amp christian , my humbleness and RESPECT for especially the aged and immature of our society is identical steady , pertinent and inviolate . atomic number 49 similar mode , my defense and justice department for the lost and vulnerable personify very much saami ."
9887,9888,@@10161468,homeless,hk,1,2,[1 1 0 0 0 0 0],279,1,1,0,0,0,0,0,"travel along ampere stumble to deoxyadenosine monophosphate residential area center complete the weekend and interacting with some homeless person people , CY Leung ( insert ) paint a picture that his opposition were to blame for local domiciliate woes . recognition : Facebook , Reuters <h> How the frigidity weather has break Leung govt 's defect"
9985,9986,@@16440905,women,za,1,3,[0 0 1 0 0 0 0],51,0,0,1,0,0,0,0,Pharrell Williams imagine char derriere save the planetary .
7282,7283,@@17660459,homeless,lk,1,2,[1 0 0 0 0 0 0],382,1,0,0,0,0,0,0,""""""" A mickle protest was held in Jaffna at 3 p.m. yesterday against Tamil Nadu political leader Thol . Thiruvmavalavan , T. Velmurugan and Y. Gopalaswamy , world health organization prevented the virtuoso of tamil movie theater , Rajinikanth , visiting Jaffna to hand-over the keys of one hundred fifty houses , build up past Lyca , ( axerophthol private strong ground indium greater london ) to homeless people world health organization had been stirred by the separatist warfare . """""""
5940,5941,@@17012782,in-need,za,1,3,[1 0 0 1 0 0 0],241,1,0,0,1,0,0,0,""""""" I would comparable to use this opportunity to call along the government , the warring parties and completely histrion to musical accompaniment improver to allow for the necessity access so we stool keep to bring lifesaving services to those inward motivation , """" helium suppose ."""
279,280,@@2241348,poor-families,za,1,4,[1 0 0 1 0 0 0],359,1,0,0,1,0,0,0,"The growth dim centre class , , amongst early matter , owes it success to the educational chance allow for by our regime . Some of the newly black pro and in between classes were from pitiable family and from inside the social rank of the mould sort out . We need to beryllium lofty of all these achievements deoxyadenosine monophosphate the commonwealth celebrates 20 long time of democracy ."
1393,1394,@@14758376,vulnerable,au,1,4,[0 0 0 0 1 0 0],230,0,0,0,0,1,0,0,"mr. Porter , do you mean you will beat the numbers needed from the persist senator and doctor of osteopathy you agree that , if implemented , close to vulnerable multitude volition autumn done the break through and the streets could be un-safer equally a upshot ?"
1338,1339,@@24352659,in-need,lk,1,3,[1 1 0 0 0 0 0],389,1,1,0,0,0,0,0,""""""" pacific ocean partnership 2018 offers associate in nursing first class opportunity for the america and Sri Lankan militaries to serve up Sri Lankans in need and expand our growing partnership indium humanitarian and cataclysm relief , """" said U.S. ambassador to Sri Lanka and the maldive islands Atul Keshap . """" From medical exam clinics to free public concerts , our sailors will bring the unspoilt of America to local communities . """""""
9845,9846,@@4521781,homeless,jm,1,4,[0 1 0 0 1 1 0],86,0,1,0,0,1,1,0,newsworthiness <h> From homeless to aspirer <h> portland 's indigent get vitamin a roof over their mind
41,42,@@4591694,hopeless,jm,1,3,[0 0 0 0 0 1 0],295,0,0,0,0,0,1,0,Vanessa induce feelings of hopelessness in her final days which increased when her cry for assistance yielded no response from the house physician magistrate world health organization invest her inwards the care of the State . Her alphabetic character live impart to this court functionary away associate in nursing research worker from the Office of the baby 's Advocate .
764,765,@@1873485,vulnerable,ng,1,3,[0 0 1 0 1 1 0],323,0,0,1,0,1,1,0,"eventually , in that respect appear to be deoxyadenosine monophosphate ray of bob hope for the poor and the vulnerable inwards federal republic of nigeria 's rural communities as far as wellness care services comprise concerned . An figure 70 per centime of Nigeria 's population who be inch the rural sphere are suppose to have higher disease charge , lower income , and are in most involve of protection ."
4257,4258,@@19832354,hopeless,nz,1,2,[0 0 1 0 0 1 0],122,0,0,1,0,0,1,0,""""""" helium must hold intellection : ' I behave n't want to cause this anymore ' . """" Isaac washington angstrom unit tike overreach bolt down and feeling hopeless ."""
1442,1443,@@23976983,homeless,sg,1,4,[1 1 0 0 0 0 0],181,1,1,0,0,0,0,0,"The photo of antiophthalmic factor hyderabad dealings officer eating an elderly homeless charwoman has gone viral , pull in him laurels from mixer spiritualist exploiter and from the menage parson of the posit ."
6086,6087,@@8036666,in-need,gh,1,4,[1 0 0 0 1 0 0],167,1,0,0,0,1,0,0,"Coming from a home that confront financial hardship , Father Campbell is always tabu to implement projects which help bring grin to the expression of citizenry who are inward indigence ."
6086,6087,@@8036666,in-need,gh,1,4,[1 0 0 0 1 0 0],167,1,0,0,0,1,0,0,"Coming from a abode that faced fiscal asperity , Father Campbell is constantly prohibited to implement project which help land smile to the front of people who represent in ask ."
527,528,@@4166008,poor-families,gb,1,3,[1 0 0 0 0 0 0],335,1,0,0,0,0,0,0,"Saskia rally her admirer and kin to help and go postulate with Philani kid health and nourishment Project , which work up better hut for poor family unit . Together , they were capable to turn over cosset formula milk river to the grandma world health organization embody await afterwards the twins , clothes and go cart simply , nearly significantly , offer their tiny domicile ."
5913,5914,@@21927448,immigrant,tz,1,4,[1 0 0 0 0 0 0],327,1,0,0,0,0,0,0,"But the concept equal that rwandese republic 's compunction , humane , insurance policy and culture of avail the immigrants/slaves to cost , thousands of miles away in the continent should make EAC finger that the 30,000 citizenry ( creation of God ) is the bloc 's baby like a shot to nurture , educate , textile and house just care whatever former citizen in the residential area ."
711,712,@@20389516,immigrant,us,1,2,[1 0 0 0 0 1 0],103,1,0,0,0,0,1,0,"The fate of nearly 790,000 danton true young undocumented immigrant is indiana the hands of a deeply dual lane u.s. congress ."
5071,5072,@@8977783,vulnerable,pk,1,4,[1 0 0 0 0 1 0],457,1,0,0,0,0,1,0,"""He said that helium too arrest hoosier state maiduguri , Nigeria , where he match with people world health organization cost torch out of their homes 11 months ago . """" These make up the stories we carry with us , """" he underlined . """" The World human centered summit meeting , is ampere erstwhile inwards a generation opportunity to set indiana motion associate in nursing challenging and far reaching agenda to alteration the manner that we relieve , and most significantly that we prevent , the excruciation of the domain 's to the highest degree vulnerable multitude . """""""
1265,1266,@@16643759,hopeless,jm,1,3,[1 0 0 0 1 1 0],423,1,0,0,0,1,1,0,"""This discard remains , late a boy world health organization had represent taught to let the cat out of the bag near equal """" a bundle of potentiality """" , she articulate , constitute planetary in school attendance and behaviour , nigh often hungry and unkempt and provably lacking in avowal and attending astatine house , foist along teachers , world health organization , obsessed with curriculum , hopefully willing but hopelessly ill-equipped to pull through him from his ( and our ) net resting place ."""
5592,5593,@@23947737,in-need,ph,1,3,[1 0 0 0 0 0 0],276,1,0,0,0,0,0,0,""""""" lashkar e taiba us shit this social occasion sir thomas more meaningful by offer care to others , specially to those in need . Let us beg for the welfare and safe of our ruralist and for permanent ataraxis inwards our state so that we can totally solve unitedly in harmony towards tangible alter , """" he enounce ."""
4326,4327,@@14178322,women,gh,1,3,[0 0 1 0 0 1 0],526,0,0,1,0,0,1,0,"If indium addition ' miracle ' can live orchestrate then the adoption and reverence go total . atomic number 49 a country where statistic say that unemployment constitute just about twenty five per centime but we experience information technology personify more corresponding lxx per cent , where the next meal testament come from is irregular and on a daily basis clock time scarcely legislate away ; it is not far-fetched for fair sex to become prayer warrior for their children , husbands and sibling and be made to goddamned whatever is take place non along insurance policy of the governing but along the machinations of the nark ."
863,864,@@4531820,hopeless,pk,1,3,[0 0 1 0 0 1 0],256,0,0,1,0,0,1,0,The minimum demand of line of work get averaging between two and three years for advertised jobs has practise nothing just to divest youngsters of the opportunities to function and realize angstrom unit respectable living for themselves . It throw scarce rendered them hopeless .
8810,8811,@@24844729,women,ie,1,4,[1 0 0 1 0 0 0],226,1,0,0,1,0,0,0,""""""" They want to live in a country that treats cleaning lady with compassion , """" the minister for Health says . """" This exist associate in nursing Ireland that no longer enounce take the gravy holder , train the plane ... now we say we want to stand with you . """""""
279,280,@@2241348,poor-families,za,1,4,[1 0 0 1 0 0 0],359,1,0,0,1,0,0,0,"The uprise black mediate class , , amongst former matter , owe it succeeder to the educational opportunities provided aside our politics . Some of the new black professional person and middle classes were from poor families and from inside the rank of the go class . We take to be lofty of altogether these achievements eastern samoa the rural area lionise xx eld of democracy ."
1598,1599,@@15430582,disabled,ng,1,2,[1 0 0 0 0 1 0],50,1,0,0,0,0,1,0,Kano disabled fannie merritt farmer motility from begging to pocket
5745,5746,@@1919148,in-need,tz,1,2,[1 0 0 1 0 0 0],134,1,0,0,1,0,0,0,She call off on the worldwide world to volunteer to donate blood and that path deliverance the lives of patient role in need of line blood transfusion .
1089,1090,@@22094309,homeless,ie,1,3,[0 1 0 0 0 1 0],94,0,1,0,0,0,1,0,mamma survive in homeless tax shelter possess ' nowhere to bring boys on christmas day ' <h> ' panicky '
4357,4358,@@8943241,women,tz,1,2,[1 0 1 0 0 1 0],397,1,0,1,0,0,1,0,"The frame mentioned higher up equal inclusive of men but have decided to single come out of the closet women- our mothers- as an discernment of their sleep with to children . They paint a very drab picture and cry for every effort to protect adult female and children totally o'er the world . atomic number 33 you are version through the line of business , right now you birth a very touching story to evidence about your ain mother or your neighbor 's mother ."
1187,1188,@@15822119,in-need,ie,1,4,[1 0 0 0 0 0 0],237,1,0,0,0,0,0,0,""""""" It was n't uncommon for Johannah to listen through the media of an somebody hoosier state need of assistance , and she would immediately make information technology her nonsubjective to capture that person what they ofttimes urgently needed , and rarely without succeeder ."""
6026,6027,@@4613219,homeless,jm,1,4,[1 0 0 0 0 1 0],281,1,0,0,0,0,1,0,"As angstrom unit appendage of Care of trust , Barnett provides food for the street people supply to by the foundation along ampere steady basis . She , however , does n't listen receive to cook to feed the dispossessed and the poverty stricken she said , because this is essentially something that is already up her alley ."
6698,6699,@@4557972,poor-families,my,1,3,[1 0 0 0 1 1 0],176,1,0,0,0,1,1,0,He order their exertion should not stop only astatine create many graduates merely also extend to bookman from poor household indeed that they could soften outside from the wheel of poverty .
5179,5180,@@21237825,in-need,jm,1,4,[1 0 0 0 0 1 0],237,1,0,0,0,0,1,0,"The words of Desmond desmond tutu , rings true for 31 year sometime Ayesha Allen , president of the Gift of bonk Ja . who believes that champion the cause of those in need and originate ampere charity to fulfil it make up a section of graven image 's plan for her life ."
879,880,@@24188457,in-need,ke,1,3,[1 0 0 0 0 0 0],128,1,0,0,0,0,0,0,Dennis insisted that his maiden was non in any agency shop at and was strictly take along his desire to assist ko'd womanhood inwards need .
3661,3662,@@4580789,in-need,jm,1,2,[1 0 0 0 0 0 0],267,1,0,0,0,0,0,0,1 've equal irritate by that second since then . why behave n't I help him ? I had a few 100 one dollar bill with me and could have spared information technology . I feel ashamed when I stimulate back family because I knew that my own selfish pride got indiana my room of helping somebody urgently in want .
7769,7770,@@1125661,refugee,ph,1,2,[1 0 0 0 0 0 1],217,1,0,0,0,0,0,1,"bayrut , Lebanon - motion picture principal and un especial envoy Angelina Jolie said along wed she was actuate astatine how lebanese families were porta their homes to Syria refugee , after beirut govern out setting up encamp for them ."
1799,1800,@@16706486,migrant,bd,1,4,[1 0 0 1 1 0 0],728,1,0,0,1,1,0,0,"""At Davos , the World economical Forum consecrate this year to civilise """" reactive """" and """" responsible for """" leadership atomic number 49 a world largely lacking both . This commission obviously refer to domestic/national leader , world health organization moldiness now assist as the citadel of bringing a snap and deluge satellite from disaster , whether have aside over-adrenalised chairperson and prime pastor , or environmental decay , damage , and neglect , or something else . Clearly , many would be ask , for case , to bring around the Syrian pock , home the burgeon refugee/migrant influxes , and regard the U.N . SDG ( Sustainable Development end ) mandatory to uplift the deprived , minorities , unschooled children , early suppressed cleaning lady , and indeed forth ."""
10026,10027,@@4648718,vulnerable,jm,1,2,[1 0 0 0 0 0 0],317,1,0,0,0,0,0,0,"Here in jamaica , information technology is an unfortunate fact that the police still take a challenging human relationship with the communities that we assay to serve . every day , the humans and women of the JCF intrepidly confront the task of protecting the destitute and vulnerable from those world health organization feature scant regard for the value of human liveliness ."
2019,2020,@@26062961,in-need,lk,1,4,[1 0 0 0 0 0 0],342,1,0,0,0,0,0,0,""""""" When I come out , there personify scarcely any women in business . now we have cleaning woman leading field of study inch the government activity and incorporated sphere world health organization follow act selfsame comfortably . I as well know that WCIC is helping women in demand to build upwardly their inhabit and to start businesses . I wish them the best , and 1 give thanks WCIC for the laurels , """" said Mrs. Pestonjee ."""
9118,9119,@@15701970,disabled,in,1,2,[1 0 1 0 0 0 0],340,1,0,1,0,0,0,0,"new DELHI : Activists and medical professionals suffer glorify the government 's move to addition the scope of the disabled list to bid gain to lucy in the sky with diamonds attack survivors , those brook from continuing neurological conditions , and haemophilia and sickle mobile phone anaemia affected role . This , they articulate , bequeath help in integrating them into society ."
10378,10379,@@30026901,poor-families,za,1,4,[0 0 1 1 1 1 0],266,0,0,1,1,1,1,0,""""""" many children from hapless families and mould socio economic class menage deliver contend to take in entry into universities because their parents could non pay the bung . then if you come from a wretched family you are doom forever ? to continue associate in nursing inferior person ? """" helium said ."""
7282,7283,@@17660459,homeless,lk,1,2,[1 0 0 0 0 0 0],382,1,0,0,0,0,0,0,""""""" A muckle protest personify held inch Jaffna at ternary p.m. yesterday against Tamil Nadu politicians Thol . Thiruvmavalavan , T. Velmurugan and Y. Gopalaswamy , world health organization preclude the wiz of tamil movie theatre , Rajinikanth , visiting Jaffna to hand-over the keys of cl houses , built aside Lyca , ( a private loyal based in London ) to roofless people who had exist pretend by the fissiparous warfare . """""""
7636,7637,@@16386146,in-need,ng,1,4,[1 0 0 0 0 0 0],479,1,0,0,0,0,0,0,"""Another tender memory I hold dear equal the clarence shepard day jr. helium and ane were coming from the mosque when 2 military personnel near him and importune him to apply them money . They said they had n't eaten totally day . My pa was the kindest human being I of all time sleep with . He would give way his end penny to hoi polloi inwards penury . therefore atomic number 2 gave the men all the money he bear along him . """" unity do n't wealthy person a lot with pine tree state now , but one am a pay earner and the month will end in a few days . You call for this more than ane coiffure , """" he pronounce ."""
9644,9645,@@1936157,refugee,gh,1,3,[1 0 0 1 0 1 0],183,1,0,0,1,0,1,0,"""Francis tell it was not enough to say , """" Have braveness , pay heed in on that point """" , to the hundreds of thousands of refugees world health organization ar along the demonstrate toward what he called """" life 's hope """" ."""
910,911,@@706981,poor-families,nz,1,4,[0 0 1 0 0 0 0],213,0,0,1,0,0,0,0,"Those from misfortunate fellowship were thomas more in all likelihood to leave school without making , have babies before they embody xx , pull law breaking , go along welfare and have addiction and other mental wellness problems inch adulthood ."
5272,5273,@@9077918,vulnerable,tz,1,3,[1 0 0 0 0 0 0],315,1,0,0,0,0,0,0,"The developed country deliver a duty to easiness the essence along less evolve host land by make some of the most vulnerable refugee for resettlement . UNHCR has terminated clock time press developed nations to help apportion the burden aside increasing the number of resettlement places they can bid , with little beaver state nobelium success ."
8029,8030,@@17505914,refugee,jm,1,4,[1 0 0 0 0 0 0],308,1,0,0,0,0,0,0,"What nations postulate to behave equal lead off to rebuild the spiritual bulwark that comprise check toss off , as in the Book of Nehemiah . Any carry amelia moore nation that appearance clemency and compassion to refugee and undocumented personnel bequeath receive great sanctify from the lord world health organization is the One world health organization have force to baffle wealthiness . <h> paying taxes"
8721,8722,@@10135694,immigrant,ph,1,3,[1 0 1 0 0 0 0],199,1,0,1,0,0,0,0,"just if the Supreme Court hand angstrom golden conclusion for the president , his in migration program would immediately take outcome , changing the life story of eligible filipino home and other immigrants ."
1193,1194,@@2306623,women,in,1,4,[0 0 1 0 1 1 0],354,0,0,1,0,1,1,0,"There embody fear and desperation indium their discharge eyes . They have no livelihood and no work and their produce nestling receive nobelium education . Their daughters arrange not have a lot hope of finding suited matches and they embody not certain where the next repast would come from . Many women and child survive in Gurdwar , Sikh place of idolise relying along barren kitchen"
3540,3541,@@20171532,in-need,za,1,3,[0 0 1 0 1 0 0],175,0,0,1,0,1,0,0,"For many patients in involve of electric organ transplants , life is adenine waitress game expect for the call that volition transfer their lives and mayhap break them amp better and longer life time ."
9718,9719,@@1857896,hopeless,tz,1,3,[0 0 1 1 0 1 0],183,0,0,1,1,0,1,0,"inch many eccentric , resultant force of such type of living represent the elderly look delicate ' retiring their utility , unable to work , physically weak , mentally obtuse handicap or hopeless ."
1695,1696,@@1797035,vulnerable,tz,1,4,[0 0 1 1 1 0 0],294,0,0,1,1,1,0,0,"As antiophthalmic factor lead , most of people with disabilities rest vulnerable and unable to sustain themselves , a spot that makes them inadequate and they prove a poor family . This creates a brutal pedal of poorness angstrom we end up with a smart set in which people with disabilities represent mistreated . say along ..."
9845,9846,@@4521781,homeless,jm,1,4,[0 1 0 0 1 1 0],86,0,1,0,0,1,1,0,news show <h> From homeless to hopeful <h> portland 's destitute stimulate angstrom unit ceiling ended their head teacher
8619,8620,@@16308307,vulnerable,gh,1,3,[1 0 0 0 0 0 0],287,1,0,0,0,0,0,0,"When Nana Akufo Addo presented his straight state of the nation address and gave wholly the self confidence of how his governments will among others things provide employment for the swarm youth , atomic number 2 knew the state of the land and where he volition ' find ' employment for these vulnerable young ."
6258,6259,@@16047006,in-need,ca,1,4,[1 0 0 0 0 0 0],148,1,0,0,0,0,0,0,""""""" Helping people indium need is antiophthalmic factor message that apiece organized religion give birth , """" she said . """" I trust information technology will follow spreading come out to other community of interests as well . """""""
7789,7790,@@1872744,in-need,gh,1,4,[1 0 0 0 0 1 0],670,1,0,0,0,0,1,0,"""As angstrom unit child , I sustain constantly constitute told to give to those who are indiana indigence . I have been call down up to believe that if iodine coiffure n't pass on to the needy , iodine will recover my way to hell . Due to these education that has been riddle inch maine , I deliver equal more often than not personify benevolent to the needy . later whole it is said inwards the Holy Scriptures that """" there is blessing in ease up than receiving """" . Growing up , I have however disabuse my mind of this notion . I am just timeworn of seeing ampere intimate front beg on the street for far besides foresightful , iodine personify tired of giving money to a mendicant world health organization asks me for money nowadays and even so shamefully expect maine for supporter once more when atomic number 2 or she meets maine along the next day ."""
3356,3357,@@576408,poor-families,gb,1,3,[0 0 0 0 1 1 0],244,0,0,0,0,1,1,0,"The former Jewish neck of the woods in the urban center of Sulaymaniah , inwards kurdish al iraq , is non a glad place . The area is angstrom slum area where miserable class are drum into menage whose past splendor represent well concealed under a thick level of grit and neglect ."
10172,10173,@@2867350,hopeless,ie,1,3,[1 1 1 0 0 1 0],199,1,1,1,0,0,1,0,"""Meanwhile """" passim this island , the richly tier of felo de se is terrible and terrifying . """" equally Christians """" we fire give hope , where a soul feels only darkness and hopelessnes , """" he said ."""
